Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
25/08/2000,2.529,2.087,0.181,-0.305,0.712,-0.146,1.743,0.724,0.062
28/08/2000,2.443,2.103,0.161,-0.271,0.576,-0.126,1.605,0.775,0.063
29/08/2000,2.429,2.026,0.177,-0.247,0.553,-0.08,1.608,0.753,0.068
30/08/2000,2.534,1.992,0.204,-0.257,0.669,-0.074,1.761,0.705,0.068
31/08/2000,2.428,2.047,0.16,-0.311,0.662,-0.13,1.666,0.69,0.072
01/09/2000,2.507,2.118,0.157,-0.309,0.692,-0.151,1.708,0.725,0.074
05/09/2000,2.652,2.119,0.201,-0.317,0.698,-0.049,1.841,0.74,0.071
06/09/2000,2.856,2.16,0.249,-0.344,0.764,0.027,2.018,0.767,0.071
07/09/2000,2.95,2.159,0.218,-0.289,0.824,0.038,2.03,0.848,0.072
08/09/2000,2.817,1.993,0.246,-0.328,0.906,0,2.087,0.64,0.09
11/09/2000,2.727,1.987,0.264,-0.306,0.808,-0.026,1.996,0.645,0.086
12/09/2000,2.721,1.953,0.288,-0.313,0.829,-0.036,2.026,0.6,0.095
13/09/2000,2.731,1.989,0.283,-0.344,0.895,-0.092,2.04,0.593,0.098
14/09/2000,2.704,2.039,0.298,-0.343,0.799,-0.089,1.993,0.612,0.099
15/09/2000,2.855,1.987,0.345,-0.303,0.868,-0.042,2.122,0.615,0.118
18/09/2000,2.854,1.976,0.403,-0.254,0.786,-0.057,2.161,0.611,0.082
19/09/2000,2.748,2.001,0.354,-0.26,0.764,-0.111,2.03,0.63,0.088
20/09/2000,2.832,1.979,0.381,-0.217,0.747,-0.058,2.088,0.653,0.091
21/09/2000,2.858,2.013,0.389,-0.244,0.75,-0.05,2.087,0.678,0.093
22/09/2000,2.989,2.085,0.385,-0.262,0.764,0.017,2.182,0.706,0.101
25/09/2000,2.992,2.003,0.421,-0.244,0.752,0.06,2.208,0.675,0.109
26/09/2000,3.069,2.073,0.459,-0.24,0.743,0.034,2.241,0.718,0.11
27/09/2000,2.971,2.002,0.461,-0.202,0.696,0.014,2.19,0.671,0.11
28/09/2000,2.979,2.096,0.36,-0.236,0.873,-0.114,2.133,0.732,0.114
29/09/2000,3.229,2.112,0.438,-0.261,1.017,-0.077,2.4,0.712,0.117
02/10/2000,3.241,2.125,0.513,-0.289,0.915,-0.023,2.438,0.68,0.123
03/10/2000,3.215,2.102,0.551,-0.261,0.835,-0.012,2.421,0.671,0.123
04/10/2000,3.156,2.113,0.529,-0.265,0.839,-0.06,2.397,0.638,0.121
05/10/2000,3.125,2.095,0.525,-0.275,0.864,-0.084,2.406,0.596,0.123
06/10/2000,3.362,2.132,0.612,-0.277,0.999,-0.104,2.681,0.567,0.114
09/10/2000,3.402,2.197,0.63,-0.285,0.904,-0.044,2.683,0.605,0.114
10/10/2000,3.755,2.212,0.679,-0.243,1.073,0.034,2.98,0.667,0.108
11/10/2000,3.983,2.344,0.746,-0.252,1.04,0.105,3.146,0.738,0.099
12/10/2000,4.592,2.422,0.855,-0.275,1.111,0.479,3.631,0.833,0.128
13/10/2000,4.355,2.456,0.701,-0.282,1.095,0.385,3.387,0.826,0.142
16/10/2000,4.103,2.401,0.7,-0.282,0.97,0.314,3.191,0.766,0.146
17/10/2000,4.158,2.491,0.769,-0.286,0.889,0.295,3.253,0.78,0.125
18/10/2000,4.483,2.669,0.799,-0.293,0.947,0.361,3.444,0.919,0.12
19/10/2000,3.944,2.59,0.64,-0.318,0.846,0.186,2.998,0.824,0.122
20/10/2000,3.864,2.576,0.618,-0.336,0.876,0.13,2.945,0.786,0.133
23/10/2000,3.852,2.599,0.618,-0.332,0.815,0.152,2.917,0.806,0.129
24/10/2000,3.778,2.566,0.611,-0.294,0.814,0.081,2.889,0.766,0.123
25/10/2000,3.781,2.496,0.717,-0.275,0.663,0.18,2.959,0.705,0.117
26/10/2000,3.966,2.542,0.715,-0.275,0.724,0.26,3.129,0.718,0.119
27/10/2000,3.827,2.544,0.666,-0.275,0.71,0.182,2.987,0.714,0.126
30/10/2000,3.645,2.459,0.601,-0.275,0.749,0.111,2.953,0.577,0.115
31/10/2000,3.532,2.576,0.503,-0.251,0.666,0.038,2.749,0.666,0.117
01/11/2000,3.591,2.567,0.533,-0.217,0.653,0.055,2.76,0.718,0.113
02/11/2000,3.506,2.577,0.513,-0.213,0.597,0.032,2.658,0.731,0.117
03/11/2000,3.585,2.556,0.517,-0.114,0.61,0.016,2.666,0.801,0.118
06/11/2000,3.43,2.515,0.497,-0.113,0.477,0.054,2.541,0.772,0.117
07/11/2000,3.503,2.506,0.5,-0.087,0.51,0.074,2.597,0.786,0.12
08/11/2000,3.621,2.483,0.57,-0.093,0.57,0.091,2.735,0.77,0.116
09/11/2000,3.857,2.505,0.59,-0.106,0.701,0.167,2.97,0.776,0.111
10/11/2000,3.96,2.511,0.699,-0.149,0.692,0.207,3.126,0.724,0.11
13/11/2000,3.852,2.533,0.736,-0.161,0.672,0.072,3.124,0.674,0.054
14/11/2000,3.455,2.522,0.631,-0.177,0.635,-0.156,2.834,0.592,0.029
15/11/2000,3.428,2.528,0.607,-0.212,0.7,-0.195,2.815,0.577,0.036
16/11/2000,3.489,2.539,0.66,-0.24,0.774,-0.244,2.89,0.561,0.038
17/11/2000,3.489,2.573,0.674,-0.219,0.733,-0.272,2.874,0.579,0.036
20/11/2000,3.719,2.635,0.748,-0.27,0.719,-0.113,3.103,0.587,0.029
21/11/2000,3.682,2.684,0.726,-0.277,0.709,-0.16,3.058,0.601,0.023
22/11/2000,3.824,2.761,0.795,-0.308,0.7,-0.124,3.2,0.611,0.013
24/11/2000,3.6,2.765,0.724,-0.347,0.643,-0.185,3.007,0.583,0.01
27/11/2000,3.793,2.776,0.703,-0.31,0.76,-0.136,3.157,0.627,0.009
28/11/2000,3.855,2.793,0.734,-0.321,0.763,-0.114,3.239,0.617,-0.001
29/11/2000,4.084,2.86,0.709,-0.372,0.98,-0.093,3.469,0.615,0
30/11/2000,4.505,3.052,0.803,-0.384,0.961,0.073,3.765,0.739,0.001
01/12/2000,4.457,3.015,0.803,-0.402,0.927,0.114,3.662,0.77,0.025
04/12/2000,4.633,3.112,0.756,-0.398,1.019,0.144,3.75,0.857,0.026
05/12/2000,4.509,3.102,0.587,-0.441,1.128,0.133,3.577,0.877,0.055
06/12/2000,4.406,3.041,0.676,-0.445,0.975,0.159,3.487,0.865,0.054
07/12/2000,4.309,2.998,0.697,-0.45,0.836,0.228,3.411,0.844,0.054
08/12/2000,4.217,2.969,0.612,-0.455,0.936,0.155,3.313,0.84,0.064
11/12/2000,4.182,2.916,0.576,-0.414,0.923,0.181,3.267,0.842,0.073
12/12/2000,4.075,2.874,0.59,-0.434,0.819,0.226,3.193,0.81,0.072
13/12/2000,4.071,2.849,0.625,-0.506,0.888,0.215,3.229,0.754,0.088
14/12/2000,4.086,2.81,0.669,-0.507,0.793,0.321,3.242,0.759,0.085
15/12/2000,4.13,2.777,0.76,-0.558,0.736,0.415,3.344,0.713,0.073
18/12/2000,4.324,2.776,0.708,-0.55,0.858,0.532,3.526,0.724,0.074
19/12/2000,4.323,2.715,0.763,-0.525,0.925,0.445,3.55,0.695,0.078
20/12/2000,4.982,2.768,0.896,-0.607,1.088,0.837,4.1,0.789,0.093
21/12/2000,5.303,2.724,0.853,-0.572,1.531,0.767,4.406,0.8,0.097
22/12/2000,5.319,2.753,0.742,-0.583,1.762,0.645,4.408,0.811,0.1
26/12/2000,4.759,2.761,0.704,-0.569,1.14,0.723,3.848,0.812,0.099
27/12/2000,4.638,2.775,0.65,-0.573,1.081,0.705,3.708,0.827,0.103
28/12/2000,4.491,2.764,0.632,-0.539,1.017,0.617,3.542,0.842,0.107
29/12/2000,4.537,2.78,0.682,-0.545,1.014,0.606,3.574,0.857,0.106
02/01/2001,5.109,2.982,1.036,-0.617,0.946,0.762,4.053,0.952,0.104
03/01/2001,4.854,2.816,0.809,-0.528,1.082,0.675,3.894,0.848,0.112
04/01/2001,4.573,2.756,0.866,-0.602,0.869,0.684,3.691,0.772,0.11
05/01/2001,4.963,2.756,0.987,-0.668,1.036,0.852,4.118,0.735,0.11
08/01/2001,4.731,2.677,0.99,-0.639,0.797,0.906,3.914,0.705,0.112
09/01/2001,4.392,2.561,0.97,-0.619,0.663,0.817,3.606,0.677,0.109
10/01/2001,4.3,2.511,0.92,-0.555,0.607,0.817,3.495,0.698,0.107
11/01/2001,4.171,2.435,0.872,-0.588,0.683,0.769,3.436,0.626,0.109
12/01/2001,3.935,2.331,0.902,-0.539,0.649,0.592,3.308,0.55,0.077
16/01/2001,4.07,2.315,0.973,-0.501,0.64,0.643,3.402,0.589,0.079
17/01/2001,3.916,2.225,0.962,-0.56,0.632,0.657,3.364,0.452,0.1
18/01/2001,3.782,2.217,0.896,-0.534,0.605,0.598,3.189,0.499,0.094
19/01/2001,3.694,2.185,0.914,-0.482,0.575,0.502,3.135,0.496,0.063
22/01/2001,3.676,2.123,0.906,-0.431,0.563,0.515,3.109,0.506,0.061
23/01/2001,3.415,2.074,0.844,-0.432,0.501,0.428,2.857,0.495,0.063
24/01/2001,3.461,2.064,0.827,-0.442,0.553,0.459,2.945,0.45,0.066
25/01/2001,3.478,2.015,0.846,-0.422,0.627,0.412,2.963,0.45,0.065
26/01/2001,3.47,2.029,0.85,-0.425,0.624,0.392,2.966,0.435,0.069
29/01/2001,3.293,2.019,0.818,-0.402,0.525,0.333,2.781,0.444,0.068
30/01/2001,3.387,1.97,0.784,-0.404,0.719,0.318,2.867,0.454,0.066
31/01/2001,3.153,1.961,0.811,-0.448,0.583,0.246,2.599,0.484,0.07
01/02/2001,3.551,1.929,0.865,-0.381,0.642,0.496,2.725,0.749,0.077
02/02/2001,3.631,1.913,0.947,-0.373,0.67,0.474,2.804,0.748,0.079
05/02/2001,3.548,1.896,0.928,-0.333,0.568,0.489,2.687,0.777,0.084
06/02/2001,3.539,1.856,0.926,-0.328,0.643,0.442,2.737,0.716,0.086
07/02/2001,3.454,1.862,0.963,-0.366,0.593,0.402,2.725,0.65,0.079
08/02/2001,3.405,1.848,0.989,-0.387,0.559,0.396,2.678,0.642,0.085
09/02/2001,3.522,1.864,1.057,-0.416,0.593,0.424,2.776,0.659,0.087
12/02/2001,3.518,1.874,0.992,-0.402,0.568,0.486,2.757,0.673,0.088
13/02/2001,3.468,1.887,1.027,-0.386,0.531,0.409,2.694,0.681,0.093
14/02/2001,3.586,1.87,1.04,-0.335,0.555,0.456,2.738,0.741,0.107
15/02/2001,3.508,1.823,0.994,-0.29,0.555,0.426,2.665,0.727,0.116
16/02/2001,3.706,1.903,1.091,-0.313,0.557,0.468,2.849,0.767,0.09
20/02/2001,3.814,1.925,1.163,-0.297,0.487,0.536,2.956,0.789,0.069
21/02/2001,4.024,1.974,1.245,-0.311,0.49,0.626,3.148,0.816,0.06
22/02/2001,4.057,1.987,1.242,-0.319,0.482,0.665,3.268,0.735,0.054
23/02/2001,4.408,2.033,1.268,-0.296,0.673,0.73,3.507,0.852,0.049
26/02/2001,4.096,2.034,1.178,-0.354,0.602,0.636,3.249,0.803,0.044
27/02/2001,3.992,2.044,1.205,-0.381,0.448,0.676,3.152,0.801,0.039
28/02/2001,4.041,2.099,1.267,-0.399,0.302,0.772,3.176,0.827,0.038
01/03/2001,4.11,2.034,1.258,-0.377,0.403,0.792,3.217,0.854,0.039
02/03/2001,4.176,2.057,1.274,-0.382,0.432,0.795,3.261,0.875,0.04
05/03/2001,4.007,2.042,1.229,-0.374,0.418,0.692,3.135,0.85,0.022
06/03/2001,3.804,2.038,1.165,-0.349,0.43,0.52,3.004,0.788,0.012
07/03/2001,3.744,2.024,1.127,-0.398,0.53,0.461,2.988,0.744,0.012
08/03/2001,3.731,2.014,1.112,-0.416,0.538,0.483,2.966,0.756,0.009
09/03/2001,3.698,1.998,1.222,-0.416,0.433,0.461,2.983,0.734,-0.019
12/03/2001,4.432,2.036,1.418,-0.448,0.693,0.733,3.663,0.795,-0.026
13/03/2001,4.099,2.039,1.346,-0.412,0.514,0.612,3.365,0.752,-0.018
14/03/2001,4.63,2.167,1.459,-0.454,0.644,0.814,3.788,0.837,0.005
15/03/2001,4.438,2.19,1.408,-0.497,0.517,0.82,3.624,0.803,0.011
16/03/2001,4.593,2.224,1.501,-0.496,0.424,0.94,3.752,0.824,0.017
19/03/2001,4.465,2.238,1.417,-0.47,0.379,0.901,3.592,0.863,0.01
20/03/2001,4.555,2.257,1.497,-0.441,0.339,0.903,3.66,0.888,0.007
21/03/2001,4.87,2.346,1.575,-0.494,0.482,0.961,3.95,0.916,0.004
22/03/2001,5.317,2.486,1.608,-0.511,0.718,1.016,4.23,1.088,-0.001
23/03/2001,4.898,2.42,1.495,-0.471,0.565,0.889,3.829,1.059,0.01
26/03/2001,4.941,2.391,1.413,-0.442,0.751,0.828,3.873,1.057,0.011
27/03/2001,4.46,2.312,1.278,-0.397,0.537,0.73,3.446,0.998,0.016
28/03/2001,4.795,2.308,1.383,-0.397,0.624,0.877,3.783,0.991,0.021
29/03/2001,5.039,2.308,1.388,-0.392,0.785,0.95,4.02,0.991,0.028
30/03/2001,4.894,2.281,1.333,-0.459,0.79,0.949,3.968,0.897,0.029
