"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2018-11-26T05:00:00.000Z","24,364","25,550","24,364","25,538","5.16","4.95","176,404"
"2018-12-03T05:00:00.000Z","25,780","25,980","24,242","24,389","-4.50","-4.71","167,730"
"2018-12-10T05:00:00.000Z","24,361","24,828","23,881","24,101","-1.18","-1.39","179,390"
"2018-12-17T05:00:00.000Z","23,987","24,088","22,396","22,445","-6.87","-7.07","285,557"
"2018-12-24T05:00:00.000Z","22,317","23,382","21,713","23,062","2.75","2.54","148,595"
"2018-12-31T05:00:00.000Z","23,154","23,519","22,638","23,433","1.61","1.40","143,065"
"2019-01-07T05:00:00.000Z","23,474","24,015","23,302","23,996","2.40","2.20","157,699"
"2019-01-14T05:00:00.000Z","23,881","24,750","23,765","24,706","2.96","2.76","153,353"
"2019-01-22T05:00:00.000Z","24,608","24,860","24,244","24,737","0.1249","-0.0800","135,415"
"2019-01-28T05:00:00.000Z","24,597","25,193","24,324","25,064","1.32","1.12","195,480"
"2019-02-04T05:00:00.000Z","25,062","25,439","24,883","25,106","0.1693","-0.0355","140,046"
"2019-02-11T05:00:00.000Z","25,143","25,884","25,009","25,883","3.09","2.89","142,467"
"2019-02-19T05:00:00.000Z","25,850","26,053","25,762","26,032","0.5740","0.3691","110,397"
"2019-02-25T05:00:00.000Z","26,126","26,241","25,877","26,026","-0.0211","-0.2259","142,323"
"2019-03-04T05:00:00.000Z","26,122","26,156","25,252","25,450","-2.21","-2.42","136,366"
"2019-03-11T04:00:00.000Z","25,208","25,928","25,208","25,849","1.57","1.36","187,342"
"2019-03-18T04:00:00.000Z","25,802","26,110","25,501","25,502","-1.34","-1.55","168,917"
"2019-03-25T04:00:00.000Z","25,491","25,949","25,372","25,929","1.67","1.47","141,636"
"2019-04-01T04:00:00.000Z","26,075","26,488","26,072","26,425","1.91","1.71","128,107"
"2019-04-08T04:00:00.000Z","26,313","26,437","26,063","26,412","-0.0480","-0.2529","125,850"
"2019-04-15T04:00:00.000Z","26,408","26,602","26,316","26,560","0.5575","0.3526","125,359"
"2019-04-22T04:00:00.000Z","26,511","26,696","26,310","26,543","-0.0610","-0.2659","144,165"
"2019-04-29T04:00:00.000Z","26,560","26,689","26,180","26,505","-0.1446","-0.3494","146,013"
"2019-05-06T04:00:00.000Z","26,161","26,476","25,470","25,942","-2.12","-2.33","152,374"
"2019-05-13T04:00:00.000Z","25,568","25,958","25,223","25,764","-0.6876","-0.8924","152,824"
"2019-05-20T04:00:00.000Z","25,655","25,898","25,328","25,586","-0.6921","-0.8969","130,049"
"2019-05-28T04:00:00.000Z","25,617","25,718","24,810","24,815","-3.01","-3.22","117,125"
"2019-06-03T04:00:00.000Z","24,830","26,073","24,681","25,984","4.71","4.51","138,366"
